LawID,Angle_Deg,Skew_Deg,Fx_mm,Fy_mm,Fz_mm,Velocity_m_s,El_1_us,El_2_us,El_3_us,El_4_us,El_5_us,El_6_us,El_7_us,El_8_us,El_9_us,El_10_us,El_11_us,El_12_us,El_13_us,El_14_us,El_15_us,El_16_us,El_17_us,El_18_us,El_19_us,El_20_us,El_21_us,El_22_us,El_23_us,El_24_us,El_25_us,El_26_us,El_27_us,El_28_us,El_29_us,El_30_us,El_31_us,El_32_us,El_33_us,El_34_us,El_35_us,El_36_us,El_37_us,El_38_us,El_39_us,El_40_us,El_41_us,El_42_us,El_43_us,El_44_us,El_45_us,El_46_us,El_47_us,El_48_us,El_49_us,El_50_us,El_51_us,El_52_us,El_53_us,El_54_us,El_55_us,El_56_us,El_57_us,El_58_us,El_59_us,El_60_us,El_61_us,El_62_us,El_63_us,El_64_us
1,40.0,-15.0,52.24869982644885,-9.358748264359047,50.0,3240.0,0.600936030892855,0.5626787486819734,0.5206059033100637,0.4747359507775187,0.5423683619197016,0.504006567808794,0.4618189437494414,0.4158240403722594,0.48087187224495553,0.44241106048307993,0.4001146789144964,0.3540013642914655,0.41640966815811126,0.377855445290691,0.3354564505033161,0.2892313979994353,0.3489463245842944,0.3103044005916526,0.267809050309609,0.22147905658287192,0.27844795789067034,0.23972413699387024,0.19713879233157897,0.1507107664636366,0.20488229390796042,0.1660824650884872,0.12341358019338956,0.07689453247875755,0.12821873083466612,0.0893488581160013,0.046602969549658924,0.0,0.600936030892855,0.5626787486819734,0.5206059033100637,0.4747359507775187,0.5423683619197016,0.504006567808794,0.4618189437494414,0.4158240403722594,0.48087187224495553,0.44241106048307993,0.4001146789144964,0.3540013642914655,0.41640966815811126,0.377855445290691,0.3354564505033161,0.2892313979994353,0.3489463245842944,0.3103044005916526,0.267809050309609,0.22147905658287192,0.27844795789067034,0.23972413699387024,0.19713879233157897,0.1507107664636366,0.20488229390796042,0.1660824650884872,0.12341358019338956,0.07689453247875755,0.12821873083466612,0.0893488581160013,0.046602969549658924,0.0
2,40.0,-10.0,53.04089071391399,-5.785406091746402,50.0,3240.0,0.5419219270987296,0.5175778229848488,0.48938902455598216,0.457367981885732,0.4856894081738789,0.46127658123801263,0.43300828019093257,0.4008970224208537,0.4265493023649149,0.4020712113070814,0.37372740346125083,0.34153045780451513,0.36446379723601424,0.3399239752359132,0.3115087424704303,0.2792307336622131,0.2993965083705249,0.2747985575700092,0.24631606146350427,0.21396170457347602,0.23131255463417041,0.20666014039412178,0.17811461560394826,0.1456887085534194,0.16017862883839717,0.135475473798908,0.10687122121304687,0.07437863703448609,0.08596306345166597,0.06121294142571429,0.032554321122019454,0.0,0.5419219270987296,0.5175778229848488,0.48938902455598216,0.457367981885732,0.4856894081738789,0.46127658123801263,0.43300828019093257,0.4008970224208537,0.4265493023649149,0.4020712113070814,0.37372740346125083,0.34153045780451513,0.36446379723601424,0.3399239752359132,0.3115087424704303,0.2792307336622131,0.2993965083705249,0.2747985575700092,0.24631606146350427,0.21396170457347602,0.23131255463417041,0.20666014039412178,0.17811461560394826,0.1456887085534194,0.16017862883839717,0.135475473798908,0.10687122121304687,0.07437863703448609,0.08596306345166597,0.06121294142571429,0.032554321122019454,0.0
3,40.0,-5.0,53.51862978473779,-2.1566175797270932,50.0,3240.0,0.4891558091512136,0.47888051302859636,0.4647440204254028,0.4467526008341637,0.4343020810162169,0.42399722239884746,0.4098200763376132,0.3917769472854354,0.37655493219424957,0.3662219605009599,0.35200615294594656,0.3339138460643473,0.31587603278360976,0.3055164296112241,0.29126399675177767,0.27312509988271894,0.2522284540733166,0.24184373090192066,0.22755675000212877,0.20937390319957785,0.1855767451591848,0.17516844095875267,0.16084902707143142,0.14262491843070618,0.11588700508467556,0.10545668383509632,0.09110698639682605,0.07284434773260261,0.0431269501437832,0.03267619828083629,0.018298397605136754,0.0,0.4891558091512136,0.47888051302859636,0.4647440204254028,0.4467526008341637,0.4343020810162169,0.42399722239884746,0.4098200763376132,0.3917769472854354,0.37655493219424957,0.3662219605009599,0.35200615294594656,0.3339138460643473,0.31587603278360976,0.3055164296112241,0.29126399675177767,0.27312509988271894,0.2522284540733166,0.24184373090192066,0.22755675000212877,0.20937390319957785,0.1855767451591848,0.17516844095875267,0.16084902707143142,0.14262491843070618,0.11588700508467556,0.10545668383509632,0.09110698639682605,0.07284434773260261,0.0431269501437832,0.03267619828083629,0.018298397605136754,0.0
4,40.0,0.0,53.67828115612451,1.4999999999999998,50.0,3240.0,0.4429607090379373,0.44682535375115606,0.44682535375115606,0.4429607090379373,0.388525736003577,0.3924015652339178,0.3924015652339178,0.388525736003577,0.33120409013943575,0.335090560515578,0.335090560515578,0.33120409013943575,0.2709573152080312,0.2748538711735331,0.2748538711735331,0.2709573152080312,0.20774834399673528,0.21165441866733622,0.21165441866733622,0.20774834399673528,0.14154157523922156,0.1454565912976748,0.1454565912976748,0.14154157523922156,0.07230294612056373,0.07622631674445596,0.07622631674445596,0.07230294612056373,0.0,0.003931129817848244,0.003931129817848244,0.0,0.4429607090379373,0.44682535375115606,0.44682535375115606,0.4429607090379373,0.388525736003577,0.3924015652339178,0.3924015652339178,0.388525736003577,0.33120409013943575,0.335090560515578,0.335090560515578,0.33120409013943575,0.2709573152080312,0.2748538711735331,0.2748538711735331,0.2709573152080312,0.20774834399673528,0.21165441866733622,0.21165441866733622,0.20774834399673528,0.14154157523922156,0.1454565912976748,0.1454565912976748,0.14154157523922156,0.07230294612056373,0.07622631674445596,0.07622631674445596,0.07230294612056373,0.0,0.003931129817848244,0.003931129817848244,0.0
5,40.0,5.0,53.51862978473779,5.156617579727093,50.0,3240.0,0.4467526008341637,0.4647440204254028,0.47888051302859636,0.4891558091512136,0.3917769472854354,0.4098200763376132,0.42399722239884746,0.4343020810162169,0.3339138460643473,0.35200615294594656,0.3662219605009599,0.37655493219424957,0.27312509988271894,0.29126399675177767,0.3055164296112241,0.31587603278360976,0.20937390319957785,0.22755675000212877,0.24184373090192066,0.2522284540733166,0.14262491843070618,0.16084902707143142,0.17516844095875267,0.1855767451591848,0.07284434773260261,0.09110698639682605,0.10545668383509632,0.11588700508467556,0.0,0.018298397605136754,0.03267619828083629,0.0431269501437832,0.4467526008341637,0.4647440204254028,0.47888051302859636,0.4891558091512136,0.3917769472854354,0.4098200763376132,0.42399722239884746,0.4343020810162169,0.3339138460643473,0.35200615294594656,0.3662219605009599,0.37655493219424957,0.27312509988271894,0.29126399675177767,0.3055164296112241,0.31587603278360976,0.20937390319957785,0.22755675000212877,0.24184373090192066,0.2522284540733166,0.14262491843070618,0.16084902707143142,0.17516844095875267,0.1855767451591848,0.07284434773260261,0.09110698639682605,0.10545668383509632,0.11588700508467556,0.0,0.018298397605136754,0.03267619828083629,0.0431269501437832
6,40.0,10.0,53.04089071391399,8.7854060917464,50.0,3240.0,0.457367981885732,0.48938902455598216,0.5175778229848488,0.5419219270987296,0.4008970224208537,0.43300828019093257,0.46127658123801263,0.4856894081738789,0.34153045780451513,0.37372740346125083,0.4020712113070814,0.4265493023649149,0.2792307336622131,0.3115087424704303,0.3399239752359132,0.36446379723601424,0.21396170457347602,0.24631606146350427,0.2747985575700092,0.2993965083705249,0.1456887085534194,0.17811461560394826,0.20666014039412178,0.23131255463417041,0.07437863703448609,0.10687122121304687,0.135475473798908,0.16017862883839717,0.0,0.032554321122019454,0.06121294142571429,0.08596306345166597,0.457367981885732,0.48938902455598216,0.5175778229848488,0.5419219270987296,0.4008970224208537,0.43300828019093257,0.46127658123801263,0.4856894081738789,0.34153045780451513,0.37372740346125083,0.4020712113070814,0.4265493023649149,0.2792307336622131,0.3115087424704303,0.3399239752359132,0.36446379723601424,0.21396170457347602,0.24631606146350427,0.2747985575700092,0.2993965083705249,0.1456887085534194,0.17811461560394826,0.20666014039412178,0.23131255463417041,0.07437863703448609,0.10687122121304687,0.135475473798908,0.16017862883839717,0.0,0.032554321122019454,0.06121294142571429,0.08596306345166597
7,40.0,15.0,52.24869982644885,12.358748264359047,50.0,3240.0,0.4747359507775187,0.5206059033100637,0.5626787486819734,0.600936030892855,0.4158240403722594,0.4618189437494414,0.504006567808794,0.5423683619197016,0.3540013642914655,0.4001146789144964,0.44241106048307993,0.48087187224495553,0.2892313979994353,0.3354564505033161,0.377855445290691,0.41640966815811126,0.22147905658287192,0.267809050309609,0.3103044005916526,0.3489463245842944,0.1507107664636366,0.19713879233157897,0.23972413699387024,0.27844795789067034,0.07689453247875755,0.12341358019338956,0.1660824650884872,0.20488229390796042,0.0,0.046602969549658924,0.0893488581160013,0.1282187308346729,0.4747359507775187,0.5206059033100637,0.5626787486819734,0.600936030892855,0.4158240403722594,0.4618189437494414,0.504006567808794,0.5423683619197016,0.3540013642914655,0.4001146789144964,0.44241106048307993,0.48087187224495553,0.2892313979994353,0.3354564505033161,0.377855445290691,0.41640966815811126,0.22147905658287192,0.267809050309609,0.3103044005916526,0.3489463245842944,0.1507107664636366,0.19713879233157897,0.23972413699387024,0.27844795789067034,0.07689453247875755,0.12341358019338956,0.1660824650884872,0.20488229390796042,0.0,0.046602969549658924,0.0893488581160013,0.1282187308346729
8,41.0,-15.0,53.94209467075267,-9.749398170094054,50.0,3240.0,0.5723106735143062,0.5330832970266959,0.4900957520529205,0.44336639442059056,0.5180237374776859,0.4786826537062525,0.43557068932139015,0.3887063041733446,0.46088706412929004,0.4214376556866056,0.37820714959128876,0.3312141016079542,0.4008625799621114,0.3613103522277956,0.3179673161928277,0.27085211524524255,0.3379135403358064,0.2982641131713047,0.2548146840225895,0.20758397544836793,0.2720046050697233,0.2322637041544674,0.18871413434468928,0.14137468877682885,0.20310190992537486,0.16327535775712892,0.1196320055707482,0.0721907083692713,0.13117313361688854,0.09126684022110892,0.0475361596612358,0.0,0.5723106735143062,0.5330832970266959,0.4900957520529205,0.44336639442059056,0.5180237374776859,0.4786826537062525,0.43557068932139015,0.3887063041733446,0.46088706412929004,0.4214376556866056,0.37820714959128876,0.3312141016079542,0.4008625799621114,0.3613103522277956,0.3179673161928277,0.27085211524524255,0.3379135403358064,0.2982641131713047,0.2548146840225895,0.20758397544836793,0.2720046050697233,0.2322637041544674,0.18871413434468928,0.14137468877682885,0.20310190992537486,0.16327535775712892,0.1196320055707482,0.0721907083692713,0.13117313361688854,0.09126684022110892,0.0475361596612358,0.0
9,41.0,-10.0,54.76278509499482,-6.047502894590921,50.0,3240.0,0.5120206125952331,0.48701054441520863,0.45821006792507213,0.42563156959398973,0.4601081429269583,0.43502329706690734,0.40613679733253816,0.37346110391389936,0.4053682395819752,0.3802120066794643,0.3512433791732471,0.3184748855230181,0.34776195159021683,0.32253780350244377,0.2934910370075151,0.2606342432520079,0.28725161423464146,0.26196309889158176,0.23284226960264237,0.19990177450101518,0.22380092684219688,0.19845166284530508,0.169260928177134,0.13624142215436263,0.15737502666278572,0.13196869765562808,0.10271228978984709,0.06961854767432524,0.08794055845746766,0.062480907296448104,0.033163126498292776,0.0,0.5120206125952331,0.48701054441520863,0.45821006792507213,0.42563156959398973,0.4601081429269583,0.43502329706690734,0.40613679733253816,0.37346110391389936,0.4053682395819752,0.3802120066794643,0.3512433791732471,0.3184748855230181,0.34776195159021683,0.32253780350244377,0.2934910370075151,0.2606342432520079,0.28725161423464146,0.26196309889158176,0.23284226960264237,0.19990177450101518,0.22380092684219688,0.19845166284530508,0.169260928177134,0.13624142215436263,0.15737502666278572,0.13196869765562808,0.10271228978984709,0.06961854767432524,0.08794055845746766,0.062480907296448104,0.033163126498292776,0.0
10,41.0,-5.0,55.257711112089005,-2.2881665647531015,50.0,3240.0,0.4581035562348201,0.4474682504030354,0.43302535783750074,0.41478111719777183,0.4075914148437114,0.39692373601201947,0.3824369016172853,0.3641371885276027,0.35426661869098236,0.3435679972247511,0.32903916136288314,0.3106864234434512,0.29808972684720486,0.2873616283732452,0.27279277923883566,0.2543895244447645,0.2390225567836222,0.22826648003939504,0.21365965074523072,0.195208443695617,0.1770282633479051,0.16624573791939792,0.15160300343101055,0.13310646154748407,0.11207141395963043,0.1012639979188401,0.08658747185290809,0.06804826132656219,0.04411805963727,0.03328733709103177,0.018579168393547545,0.0,0.4581035562348201,0.4474682504030354,0.43302535783750074,0.41478111719777183,0.4075914148437114,0.39692373601201947,0.3824369016172853,0.3641371885276027,0.35426661869098236,0.3435679972247511,0.32903916136288314,0.3106864234434512,0.29808972684720486,0.2873616283732452,0.27279277923883566,0.2543895244447645,0.2390225567836222,0.22826648003939504,0.21365965074523072,0.195208443695617,0.1770282633479051,0.16624573791939792,0.15160300343101055,0.13310646154748407,0.11207141395963043,0.1012639979188401,0.08658747185290809,0.06804826132656219,0.04411805963727,0.03328733709103177,0.018579168393547545,0.0
