LawID,Angle_Deg,Fx_mm,Fz_mm,El_1_us,El_2_us,El_3_us,El_4_us,El_5_us,El_6_us,El_7_us,El_8_us,El_9_us,El_10_us,El_11_us,El_12_us,El_13_us,El_14_us,El_15_us,El_16_us
1,40,32.13938048432696,38.302222155948904,0.0,0.05117380449807304,0.09700305515214559,0.13757915327515127,0.1729999390360232,0.203368395215942,0.22879141754963028,0.24937866970259617,0.2652415356709721,0.27649217752384636,0.28324270210902774,0.28560443670792796,0.2836873106909903,0.27759933797392117,0.26744619345822146,0.25333087558329914
2,41,32.80295144952537,37.73547901113861,0.0,0.057044807444087575,0.10877748800315709,0.15527371313409533,0.1966166053652939,0.23289554719695715,0.264205020356384,0.2906434963821284,0.31231239512314307,0.32931512339136,0.3417562019094496,0.3497404850039476,0.353372474302637,0.3527557250505616,0.34799234156481845,0.3391825567778591
3,42,33.456530317942914,37.157241273869715,0.0,0.06272406974379933,0.12018563654915446,0.1724449492379101,0.21957044962859018,0.2616377135450429,0.29872839003784635,0.330929160840911,0.35833073877954635,0.38102692029002116,0.39911370362064347,0.4126884808418178,0.42184930863036324,0.4266942600045329,0.42732085682019255,0.4238255809137649
4,43,34.09991800312493,36.567685080958526,0.0,0.06820189925276209,0.1312061631185212,0.189058203550223,0.2418121098787515,0.28952973844180946,0.3322797736648569,0.3701367820724864,0.40318027853609695,0.43149382143878123,0.45516415055687764,0.4742803784952174,0.48893324362394996,0.49921442976168334,0.5052159554221267,0.5070296333372137
5,44,34.732918522949866,35.96699001693256,0.0,0.07347161943461078,0.14182368516720972,0.20508757817834405,0.26330360594523533,0.316520247688081,0.36479335029654125,0.4081852946523534,0.44676415095575417,0.4806028399903991,0.509778315180939,0.5343707779638791,0.5544629365505017,0.5701393157368876,0.5814856231116664,0.5885881749044265
6,45,35.355339059327385,35.355339059327385,0.0,0.07852931079323618,0.1520283330426563,0.22051538480522823,0.2840177531133674,0.3425710937918902,0.39621876718965715,0.44501112696624084,0.4890047788736451,0.5282618256789515,0.5628491130936044,0.5928374899292608,0.6183010938123682,0.6393166717784148,0.6559629430360151,0.6683200092295316
7,46,35.96699001693256,34.732918522949866,0.0,0.08337351053224899,0.16181521037852864,0.23533143064233047,0.303937339253067,0.36765648799495554,0.4265202862656687,0.4805674156931992,0.5298432002476084,0.5743989464334871,0.6142912675946831,0.6495814053909403,0.6803345602084049,0.7066192407402649,0.7285066413199555,0.7460700538885927
8,47,36.567685080958526,34.09991800312493,0.0,0.08800489150431907,0.17118379871869563,0.24953220145472046,0.323054142468805,0.3917619098063406,0.4556756415514428,0.514822863980451,0.5692379751269201,0.6189616862870447,0.6640404340484628,0.7045257750554974,0.7404737749933137,0.7719444022534925,0.7990009355149782,0.8217093931133785
9,48,37.157241273869715,33.456530317942914,0.0,0.09242593787888194,0.18013734187339686,0.2631199949000813,0.34136785903882566,0.41488287840730426,0.4836747041025196,0.5477603492052354,0.6071637831555554,0.661915475728837,0.712051901359847,0.7576150146907382,0.7986517079886695,0.8352132605367948,0.8673547893062411,0.8951347092284361
10,49,37.73547901113861,32.80295144952537,0.0,0.09664063102265025,0.18868223843471058,0.27610204815702594,0.3588850009755819,0.43702365969164364,0.5105180410750167,0.5793753779052452,0.64360981783564,0.7032420669744871,0.7582989869166137,0.808813154463204,0.8548223934471945,0.8963692879560051,0.9335006858504078,0.9662672008606473
11,50,38.302222155948904,32.13938048432697,0.0,0.10065415528176083,0.1968274637089985,0.2884896939249715,0.375617810694973,0.45819596975035704,0.536215442378638,0.6096744727209437,0.6785780721953121,0.7429377567278006,0.8027712334997624,0.8581020446806186,0.9089591761020889,0.9553766390412105,0.9973930332332047,1.0350510989584956
12,51,38.85729807284854,31.466019552491876,0.0,0.10447262995749382,0.20458403568885328,0.3002975693580877,0.39158322839561216,0.4784177219838319,0.5607844736694496,0.638673561164634,0.71208159577375,0.7810115451412856,0.8454725041216,0.9054794194789887,0.9610527748193757,1.0122182426159176,1.0590063104235188,1.1014518883886149
13,52,39.40053768033611,30.783073766282918,0.0,0.10810287091983745,0.21196453394623133,0.31154289398875085,0.4068019367612551,0.49771185197729245,0.5842490998464898,0.6663964204572311,0.7441427868605941,0.8174833038536393,0.8864190555557669,0.950956905835009,1.0111092564521766,1.0668937684141027,1.118333052467175,1.1654543349010675
14,53,39.931775502364644,30.09075115760242,0.0,0.11155218306303682,0.218982675660218,0.3222448255580553,0.42129749809215183,0.5161052426258694,0.6066384097683589,0.6928732178476626,0.77479176819046,0.8523820098182702,0.9256376551944262,0.9945580496071493,1.0591479976239195,1.11941755076801,1.1753817611392192,1.2270604061083417
15,54,40.45084971874738,29.389262614623657,0.0,0.11482818313741797,0.22565294940089275,0.33242389700219566,0.43509559118691143,0.5336277621780251,0.627985461236674,0.7181391725875023,0.804064879825214,0.8857440863284369,0.9631637901218911,1.036316414515945,1.1051996966837299,1.1698165370831553,1.2301748132690444,1.2862871621586058
16,55,40.957602214449594,28.678821817552304,0.0,0.11793865133560873,0.231990304693604,0.34210153359313233,0.44822334926645974,0.5503114200184653,0.6483262556936729,0.7422333545303814,0.8320033103736035,0.9176118789686707,0.9990400028448528,1.0762737950895747,1.1493044830875692,1.218128314026631,1.2827464246302842,1.3431646781478752
17,56,41.45187862775209,27.959645173537343,0.0,0.12089140928135263,0.23800989364896985,0.3512996462492709,0.4607087958238178,0.566189639074295,0.6676988445803311,0.7651976253102547,0.858651877291341,0.9480322826059149,1.0333143755284766,1.1144785713010164,1.1915101577324707,1.264399250482762,1.3331407135303144,1.3977340469044814
